card_id,score,notes
816,0,"Titania è un personaggio di MTG, non MHA (tranne Pixie-Bob, ma il nome è errato)."
817,4,"League Hideout. Crea un 'Sulfuric Cloud'. Tematicamente ci sta come covo dei villain."
818,1,"Butcher of Bogorai? Zombi? Non c'entra con Mr. Compress."
1219,1,"Texas Smash dovrebbe fare danni, non neutralizzare magie. Flavor fail."
1220,0,"Nessun testo delle regole."
1221,2,"Forest Training Camp. Menziona 'Raid'. Vagamente sensato come landa."
1222,3,"Nomu Zombie Mutant. Nome 'Eliminated Cadaver' molto adatto a un Nomu."
1223,0,"Nessun testo delle regole."
1224,0,"All Might non è un 'Flux Capacitor' (Ritorno al futuro)."
1225,1,"'Cute Backgrounds'? Testo Forestcycling confuso."
1226,1,"Hero Costume come Equipment. Testo confuso che menziona Phyrexian Wizard."
1227,6,"Manual (Hero dell'acqua/pompieri) ha 'Protection from red'. Ottimo flavor accidentale."
1228,1,"Kota Izumi non è Timotheus. Abilità di scartare carte non tematica."
1229,0,"Riferimento a 'Baron Zuko' (Avatar). Incoerente."
1230,1,"Rikido Sato dovrebbe potenziarsi mangiando (Food), qui è confuso."
1231,1,"All Might non è un 'Vampire Vial'. Flavor fail totale."
1232,1,"Testo illeggibile e regole non sense per un artefatto."
1233,1,"Nome buffo 'Thingy's Duster'. Equipaggiamento senza effetto chiaro."
1234,2,"Pony Tsunotori (corna) qui ha Prowess e Enlist. Meccanicamente giocabile, flavor scarso."
1235,1,"Riferimenti a carte inesistenti e token 'Hero' incolori."
1236,3,"Zombie generico per Johnny (Nomu). Meccanicamente accettabile."
1237,3,"Altro Zombie funzionale. Adatto a un Nomu generico."
1238,2,"Nomu che interagisce con artefatti. Un po' strano ma il tipo Zombie Mutant è corretto."
1239,0,"Riferimento a Cid (Final Fantasy). Incoerente."
1240,4,"Land funzionale per Forest Training Camp. Produce mana nero/verde."
1241,3,"Zombie Mutant con meccaniche di segnalini +1/+0. Accettabile."
1242,3,"Zombie semplice che sacrifica per fare danni. Adatto ai villain."
1243,1,"Ojiro (Coda) non ha nulla a che fare con 'Emporium Agent'."
1244,5,"Forest Training Camp che diventa creatura (Man-land). Molto adatto a una foresta vivente/pericolosa."
1245,2,"Nomu con Morph. Meccanica strana per MHA ma funzionale."
1246,2,"Nomu con Escape. Meccanicamente complesso ma 'ritorna dalla morte' è adatto ai Nomu."
1247,3,"Landa funzionale con Cycling."
1248,1,"Manual non è un Leonin (uomo leone). Errore di tipo creatura."
1249,1,"Ojiro che da mana? Poco tematico."
1250,1,"Pony Tsunotori con abilità legate a loyalty e planeswalker. Confuso."
1251,3,"Nomu 'Spiders'. Evoke è una meccanica interessante per mostri evocati."
1252,3,"All Might Card 'Moment of Truth'. Pescare quando si viene attaccati è eroico."
1253,1,"Kinoko (Funghi) crea Ratti? Dovrebbe creare Saprolingi."
1254,1,"Bubble Girl crea Draghi? Incoerente."
1255,2,"Nomu 'Scarab Rat'. Infettare (Infected) è tematico per i villain tossici."
1256,0,"Nessun testo delle regole."
1257,1,"Hound Dog. Partner con 'The Last Man'? Testo confuso."
1258,1,"Rikido Sato 'Great Sage'. Ward e Morph non riflettono la forza bruta."
1259,2,"Pony Tsunotori 'Great Teacher'. Crea emblemi (raro per non-planeswalker)."
1260,2,"Manual 'Protector'. Protezione è tematica, ma il testo è 'word salad'."
1261,2,"Ojiro 'Tempting Whisper'. Sacrifica terre? Poco eroico."
1262,2,"Zombie Mutant 'Trenching'. Crea ratti. Generico villain."
1263,2,"Zombie Mutant 'Unending'. Riduzione costo per cimitero. Ok per un mostro."
1264,2,"Nomu 'Vulturous'. Volare ha senso per i Nomu alati."
1265,2,"Manual 'Dreamcatcher'. Pesca su istantanei. Ok per un eroe di supporto."
1266,2,"Giran 'Fiery Apprentice'. Prowess e pesca quando muoiono creature. Adatto a un broker."
1267,2,"Ojiro 'First Hero'. Trasforma leggende in artefatti? Strano."
1268,0,"Riferimento a 'Faerûn' (D&D). Lore sbagliata."
1269,2,"Giran 'Last Guardian'. Interazione con istantanei/stregonerie."
1270,1,"Ojiro 'Masked One'. Equipaggia planeswalker? Regole rotte."
1271,2,"Rikido Sato. 'Conjure' è una meccanica digitale (Arena). Poco pratico."
1272,1,"Giran 'Secretariat'. Crea Assassin Warrior. Vagamente tematico."
1273,1,"Rikido Sato 'The Wretched'. Landfall? Sato non è legato alla terra."
1274,1,"Riferimento a 'Nantuko' (Insetti di Magic). Incoerente."
1275,3,"Rikido Sato 'World's Strongest'. Crea bestie. La forza bruta ci sta."
1276,0,"Nessun testo delle regole."
1277,0,"Riferimento a 'Luffy' (One Piece). Allucinazione."
1278,2,"Giran 'Human Apprentice'. Trample e buff. Ok per un villain di supporto."
